model_seed,attack,position,n_violations,detected
19,stale_attendance,0,1,True
19,stale_attendance,1,1,True
19,stale_attendance,2,1,True
19,stale_attendance,3,1,True
19,stale_attendance,4,1,True
19,stale_attendance,5,1,True
19,stale_attendance,6,1,True
19,stale_attendance,7,1,True
19,stale_attendance,8,1,True
19,stale_attendance,9,1,True
19,client_substitution,0,1,True
19,client_substitution,1,1,True
19,client_substitution,2,1,True
19,client_substitution,3,1,True
19,client_substitution,4,1,True
19,client_substitution,5,1,True
19,client_substitution,6,1,True
19,client_substitution,7,1,True
19,client_substitution,8,1,True
19,client_substitution,9,1,True
19,client_dropout_inject,0,1,True
19,client_dropout_inject,1,1,True
19,client_dropout_inject,2,1,True
19,client_dropout_inject,3,1,True
19,client_dropout_inject,4,1,True
19,client_dropout_inject,5,1,True
19,client_dropout_inject,6,1,True
19,client_dropout_inject,7,1,True
19,client_dropout_inject,8,1,True
19,client_dropout_inject,9,1,True
23,model_hash_tamper,0,1,True
23,model_hash_tamper,1,1,True
23,model_hash_tamper,2,1,True
23,model_hash_tamper,3,1,True
23,model_hash_tamper,4,1,True
23,model_hash_tamper,5,1,True
23,model_hash_tamper,6,1,True
23,model_hash_tamper,7,1,True
23,model_hash_tamper,8,1,True
23,model_hash_tamper,9,1,True
23,alloc_tamper,0,1,True
23,alloc_tamper,1,1,True
23,alloc_tamper,2,1,True
23,alloc_tamper,3,1,True
23,alloc_tamper,4,1,True
23,alloc_tamper,5,1,True
23,alloc_tamper,6,1,True
23,alloc_tamper,7,1,True
23,alloc_tamper,8,1,True
23,alloc_tamper,9,1,True
23,replay_round,0,1,True
23,replay_round,1,1,True
23,replay_round,2,1,True
23,replay_round,3,1,True
23,replay_round,4,1,True
23,replay_round,5,1,True
23,replay_round,6,1,True
23,replay_round,7,1,True
23,replay_round,8,1,True
23,replay_round,9,1,True
23,reorder_rounds,0,2,True
23,reorder_rounds,1,3,True
23,reorder_rounds,2,3,True
23,reorder_rounds,3,3,True
23,reorder_rounds,4,3,True
23,reorder_rounds,5,3,True
23,reorder_rounds,6,3,True
23,reorder_rounds,7,3,True
23,reorder_rounds,8,3,True
23,reorder_rounds,9,3,True
23,stale_attendance,0,1,True
23,stale_attendance,1,1,True
23,stale_attendance,2,1,True
23,stale_attendance,3,1,True
23,stale_attendance,4,1,True
23,stale_attendance,5,1,True
23,stale_attendance,6,1,True
23,stale_attendance,7,1,True
23,stale_attendance,8,1,True
23,stale_attendance,9,1,True
23,client_substitution,0,1,True
23,client_substitution,1,1,True
23,client_substitution,2,1,True
23,client_substitution,3,1,True
23,client_substitution,4,1,True
23,client_substitution,5,1,True
23,client_substitution,6,1,True
23,client_substitution,7,1,True
23,client_substitution,8,1,True
23,client_substitution,9,1,True
23,client_dropout_inject,0,1,True
23,client_dropout_inject,1,1,True
23,client_dropout_inject,2,1,True
23,client_dropout_inject,3,1,True
23,client_dropout_inject,4,1,True
23,client_dropout_inject,5,1,True
23,client_dropout_inject,6,1,True
23,client_dropout_inject,7,1,True
23,client_dropout_inject,8,1,True
23,client_dropout_inject,9,1,True
37,model_hash_tamper,0,1,True
37,model_hash_tamper,1,1,True
37,model_hash_tamper,2,1,True
37,model_hash_tamper,3,1,True
37,model_hash_tamper,4,1,True
37,model_hash_tamper,5,1,True
37,model_hash_tamper,6,1,True
37,model_hash_tamper,7,1,True
37,model_hash_tamper,8,1,True
37,model_hash_tamper,9,1,True
37,alloc_tamper,0,1,True
37,alloc_tamper,1,1,True
37,alloc_tamper,2,1,True
37,alloc_tamper,3,1,True
37,alloc_tamper,4,1,True
37,alloc_tamper,5,1,True
37,alloc_tamper,6,1,True
37,alloc_tamper,7,1,True
37,alloc_tamper,8,1,True
37,alloc_tamper,9,1,True
37,replay_round,0,1,True
37,replay_round,1,1,True
37,replay_round,2,1,True
37,replay_round,3,1,True
37,replay_round,4,1,True
37,replay_round,5,1,True
37,replay_round,6,1,True
37,replay_round,7,1,True
37,replay_round,8,1,True
37,replay_round,9,1,True
37,reorder_rounds,0,2,True
37,reorder_rounds,1,3,True
37,reorder_rounds,2,3,True
37,reorder_rounds,3,3,True
37,reorder_rounds,4,3,True
37,reorder_rounds,5,3,True
37,reorder_rounds,6,3,True
37,reorder_rounds,7,3,True
37,reorder_rounds,8,3,True
37,reorder_rounds,9,3,True
37,stale_attendance,0,1,True
37,stale_attendance,1,1,True
37,stale_attendance,2,1,True
37,stale_attendance,3,1,True
37,stale_attendance,4,1,True
37,stale_attendance,5,1,True
37,stale_attendance,6,1,True
37,stale_attendance,7,1,True
37,stale_attendance,8,1,True
37,stale_attendance,9,1,True
37,client_substitution,0,1,True
37,client_substitution,1,1,True
37,client_substitution,2,1,True
37,client_substitution,3,1,True
37,client_substitution,4,1,True
37,client_substitution,5,1,True
37,client_substitution,6,1,True
37,client_substitution,7,1,True
37,client_substitution,8,1,True
37,client_substitution,9,1,True
37,client_dropout_inject,0,1,True
37,client_dropout_inject,1,1,True
37,client_dropout_inject,2,1,True
37,client_dropout_inject,3,1,True
37,client_dropout_inject,4,1,True
37,client_dropout_inject,5,1,True
37,client_dropout_inject,6,1,True
37,client_dropout_inject,7,1,True
37,client_dropout_inject,8,1,True
37,client_dropout_inject,9,1,True
